web-scraper-order,web-scraper-start-url,Adresse,Prix,Type chaussure,Image-src
"1739284643-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Les Parcelles Assainies, Dakar, Sénégal","8 000CFA","Chaussures enfant","https://images.coinafrique.com/thumb_825843_uploaded_image1_1565308869.98.png"
"1739284643-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Les Parcelles Assainies, Dakar, Sénégal","8 000CFA","Chaussures enfant","https://images.coinafrique.com/thumb_824543_uploaded_image1_1565279780.97.png"
"1739284643-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Dakar, Sénégal","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_813318_uploaded_image1_1565013222.75.png"
"1739284643-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Dakar, Sénégal","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_813303_uploaded_image1_1565013123.95.png"
"1739284643-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Dakar, Sénégal","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_813299_uploaded_image1_1565012935.88.png"
"1739284643-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Dakar, Sénégal","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_813287_uploaded_image1_1565012771.79.png"
"1739284643-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Dakar, Sénégal","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_813282_uploaded_image1_1565012680.37.png"
"1739284643-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Dakar, Sénégal","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_813272_uploaded_image1_1565012560.04.png"
"1739284643-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Dakar, Sénégal","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_813239_uploaded_image1_1565012155.7.png"
"1739284643-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Dakar, Sénégal","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_813230_uploaded_image1_1565011989.51.png"
"1739284643-11","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Dakar, Sénégal","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_813228_uploaded_image1_1565011936.11.png"
"1739284643-12","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Dakar, Sénégal","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_813226_uploaded_image1_1565011851.3.png"
"1739284643-13","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Dakar, Sénégal","Prix sur demande","Chaussures enfant","https://images.coinafrique.com/thumb_813222_uploaded_image1_1565011799.02.png"
