web-scraper-order,web-scraper-start-url,Adresse,Prix,Type chaussure,Image-src
"1739289226-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Dakar Plateau, Dakar, Sénégal","25 000CFA","Baskets New Balance","https://images.coinafrique.com/thumb_2328444_uploaded_image1_1592843237.jpg"
"1739289226-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Dakar Plateau, Dakar, Sénégal","18 000CFA","Chaussures Reebok","https://images.coinafrique.com/thumb_2328440_uploaded_image1_1592843179.jpg"
"1739289226-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Dakar Plateau, Dakar, Sénégal","25 000CFA","Baskets Dior","https://images.coinafrique.com/thumb_2328429_uploaded_image1_1592843060.jpg"
"1739289226-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Dakar Plateau, Dakar, Sénégal","20 000CFA","Chaussures Nike","https://images.coinafrique.com/thumb_2328424_uploaded_image1_1592843024.jpg"
"1739289226-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Dakar Plateau, Dakar, Sénégal","25 000CFA","Chaussures Timberland","https://images.coinafrique.com/thumb_2328419_uploaded_image1_1592842965.jpg"
"1739289226-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Dakar Plateau, Dakar, Sénégal","15 000CFA","Baskets Nike Presto","https://images.coinafrique.com/thumb_2328412_uploaded_image1_1592842907.jpg"
"1739289226-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Dakar Plateau, Dakar, Sénégal","15 000CFA","Baskets Puma","https://images.coinafrique.com/thumb_2328409_uploaded_image1_1592842856.jpg"
"1739289226-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Dakar Plateau, Dakar, Sénégal","20 000CFA","Chaussures Wallabies","https://images.coinafrique.com/thumb_2328407_uploaded_image1_1592842804.jpg"
"1739289226-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Dakar Plateau, Dakar, Sénégal","20 000CFA","Baskets Nike","https://images.coinafrique.com/thumb_2328396_uploaded_image1_1592842689.jpg"
"1739289226-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Dakar Plateau, Dakar, Sénégal","25 000CFA","Baskets Jordan 34","https://images.coinafrique.com/thumb_2328382_uploaded_image1_1592842507.jpg"
