type_habits;prix;adresse;image_lien
Vêtement enfant;Prix sur demande;HLM, Dakar, Sénégal;https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg
Bonnet bébé;1 000 CFA;HLM, Dakar, Sénégal;
Culotte friperie enfants;Prix sur demande;Colobane, Dakar, Sénégal;
Vêtement friperie enfant;Prix sur demande;Colobane, Dakar, Sénégal;
Vêtements enfants;Prix sur demande;Medina, Dakar, Sénégal;https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg
Vêtement enfant;Prix sur demande;HLM, Dakar, Sénégal;https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg
Vêtements enfants;Prix sur demande;Mermoz-Sacré Coeur, Dakar, Sénégal;https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg
Pantalon enfant;Prix sur demande;Mermoz-Sacré Coeur, Dakar, Sénégal;
Slip  enfant;7 000 CFA;Dakar, Sénégal;
Robe de cérémonie;25 000 CFA;Patte d'oie, Dakar, Sénégal;
Robe fille;25 000 CFA;Dakar, Sénégal;
Pull capuche enfants friperie;Prix sur demande;Colobane, Dakar, Sénégal;
Vêtement enfants friperie;Prix sur demande;Colobane, Dakar, Sénégal;
Pull capuche enfants;Prix sur demande;Colobane, Dakar, Sénégal;
Ensemble enfants;25 000 CFA;Guediawaye, Dakar, Sénégal;
Vêtements enfants;15 000 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;
Robe fille;5 000 CFA;Grand Yoff, Dakar, Sénégal;
Vêtement enfant;5 000 CFA;Grand Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg
Ensemble  enfant;6 000 CFA;HLM, Dakar, Sénégal;
Collants enfant - 0 à 24 mois;2 000 CFA;Grand Yoff, Dakar, Sénégal;
Ensembles enfant;4 000 CFA;HLM, Dakar, Sénégal;
Vêtement friperie bébé;20 000 CFA;Patte d'oie, Dakar, Sénégal;
Vêtements garçon 0-24 mois;2 500 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;
Vêtements enfant;1 000 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg
Collant enfant;2 000 CFA;Sicap Liberté, Dakar, Sénégal;
Jeans enfants;6 000 CFA;Patte d'oie, Dakar, Sénégal;
Robe princesse;25 000 CFA;Patte d'oie, Dakar, Sénégal;
Ensemble friperie enfant;Prix sur demande;Colobane, Dakar, Sénégal;
Pull friperie enfant;Prix sur demande;Colobane, Dakar, Sénégal;
Vêtement bébé;5 000 CFA;Guediawaye, Dakar, Sénégal;
Ensemble garçon;13 500 CFA;Guediawaye, Dakar, Sénégal;
Tenue fillette;8 500 CFA;Guediawaye, Dakar, Sénégal;
Boxer fille;8 000 CFA;Parcelle Assainies, Dakar, Sénégal;
Pantalon enfant;Prix sur demande;Colobane, Dakar, Sénégal;
Robe;25 000 CFA;Patte d'oie, Dakar, Sénégal;
Robe enfant;25 000 CFA;Patte d'oie, Dakar, Sénégal;
Robe;25 000 CFA;Patte d'oie, Dakar, Sénégal;
Ensemble enfant;Prix sur demande;Colobane, Dakar, Sénégal;
Blouson enfant;7 000 CFA;Dakar Plateau, Dakar, Sénégal;
Robe bébé crochet;10 000 CFA;Dakar, Sénégal;
Pull bébé;6 000 CFA;Dakar, Sénégal;
Manteau fille;10 000 CFA;Dakar, Sénégal;
Vêtement Mardi-gras;20 000 CFA;Dakar, Sénégal;
Vêtement enfant;12 000 CFA;Guediawaye, Dakar, Sénégal;
Ensemble fillette;8 500 CFA;Guediawaye, Dakar, Sénégal;
Ensemble pour bébé;18 000 CFA;Keur Massar, Sénégal;
Vêtement enfant;9 900 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg
Vêtement bébé;4 500 CFA;Dakar Plateau, Dakar, Sénégal;
Ensemble tenu mardi Gras;20 000 CFA;Dieuppeul-Derklé, Dakar, Sénégal;
Peignoirs enfants;12 000 CFA;Dakar Plateau, Dakar, Sénégal;
Maillot enfant;8 000 CFA;Dieuppeul-Derklé, Dakar, Sénégal;
Vêtement bébé;10 000 CFA;Keur Massar, Sénégal;
Vêtement bébé;10 000 CFA;Keur Massar, Sénégal;
Ensemble Veste enfant;15 000 CFA;Dakar, Sénégal;
Pantalon Zara enfant;5 000 CFA;Dakar, Sénégal;
Vêtements bébé;1 500 CFA;Yoff, Dakar, Sénégal;
Friperie enfants;Prix sur demande;Colobane, Dakar, Sénégal;
Vêtements enfants;Prix sur demande;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg
Vêtements enfants;2 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg
Vêtement enfant;2 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg
