type_habits;prix;adresse;image_lien
Pantalon  homme;45 000 CFA;Ngor, Dakar, Sénégal;https://images.coinafrique.com/thumb_5206275_uploaded_image1_1740684650.jpg
Boubous homme;850 000 CFA;Grand Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_5186335_uploaded_image1_1739567861.jpg
Costume;55 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5246483_uploaded_image1_1742728129.jpg
Djellaba pour homme;15 000 CFA;Fass, Dakar, Sénégal;https://images.coinafrique.com/thumb_5141181_uploaded_image1_1737203810.jpg
Jogging;3 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5299462_uploaded_image1_1745669058.jpg
Vêtement homme;9 500 CFA;Parcelle Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_4590100_uploaded_image1_1707744155.jpg
Pulls collant;5 000 CFA;Parcelle Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_5193321_uploaded_image1_1739977517.jpg
Djialabé;7 000 CFA;Medina, Dakar, Sénégal;https://images.coinafrique.com/thumb_5195658_uploaded_image1_1740079988.jpg
Abaya homme;7 500 CFA;Sacré-Coeur, Dakar, Sénégal;https://images.coinafrique.com/thumb_5197736_uploaded_image1_1740211862.jpg
Blouson homme avec capuche;Prix sur demande;Parcelle Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_5198094_uploaded_image1_1740224914.jpg
Djellaba;12 000 CFA;Almadies 2, Dakar, Sénégal;https://images.coinafrique.com/thumb_5198746_uploaded_image1_1740258870.jpg
Combinaison homme;45 000 CFA;Patte d'oie, Dakar, Sénégal;https://images.coinafrique.com/thumb_5202402_uploaded_image1_1740483071.jpg
Djialabé;12 000 CFA;Parcelle Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_5196625_uploaded_image1_1740145369.jpg
Ensemble homme;Prix sur demande;Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_5205737_uploaded_image1_1740661380.jpg
Jalaba homme;8 000 CFA;Grand Yoff, Dakar, Sénégal;
Jellabs marocains homme;15 000 CFA;Dieuppeul-Derklé, Dakar, Sénégal;https://images.coinafrique.com/thumb_5209751_uploaded_image1_1740878061.jpg
Ensemble short;10 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5588150_uploaded_image1_1761247547.jpg
Ensemble homme;15 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg
